Date,Forecast
2025-05-14,104099.3959460027
2025-05-15,104117.61250171017
2025-05-16,104087.70799947722
2025-05-17,104115.41793653119
2025-05-18,104117.40922317396
2025-05-19,104117.8050975335
2025-05-20,104117.30435256117
2025-05-21,104117.8613431345
2025-05-22,104117.98381448224
2025-05-23,104118.00231576989
2025-05-24,104117.99555251755
2025-05-25,104118.00746368707
2025-05-26,104118.01188293459
2025-05-27,104118.01275532122
2025-05-28,104118.01274825734
2025-05-29,104118.01302657179
2025-05-30,104118.01316541144
2025-05-31,104118.01320096964
2025-06-01,104118.01320588848
2025-06-02,104118.01321312969
2025-06-03,104118.01321729724
2025-06-04,104118.0132186055
2025-06-05,104118.01321889284
2025-06-06,104118.01321910226
2025-06-07,104118.0132192265
2025-06-08,104118.01321927174
2025-06-09,104118.01321928421
2025-06-10,104118.01321929078
2025-06-11,104118.01321929453
2025-06-12,104118.01321929604
